Method,Position (m),Water_Depth (m),Discharge (m^3/s)
PREISSMANN,610.0,0.8064831427852687,8.000000672047964
PREISSMANN,615.0,0.8064831431872653,8.000000679788874
PREISSMANN,620.0,0.8064831435886378,8.00000068754889
PREISSMANN,625.0,0.8064831439893461,8.000000695327417
PREISSMANN,630.0,0.8064831443893493,8.000000703123884
PREISSMANN,635.0,0.8064831447886041,8.000000710937757
PREISSMANN,640.0,0.8064831451870652,8.000000718768533
PREISSMANN,645.0,0.8064831455846853,8.000000726615742
PREISSMANN,650.0,0.8064831459814144,8.000000734478958
PREISSMANN,655.0,0.8064831463772,8.000000742357784
PREISSMANN,660.0,0.8064831467719874,8.000000750251866
PREISSMANN,665.0,0.8064831471657199,8.000000758160876
PREISSMANN,670.0,0.806483147558337,8.000000766084518
PREISSMANN,675.0,0.8064831479497777,8.000000774022519
PREISSMANN,680.0,0.8064831483399779,8.000000781974618
PREISSMANN,685.0,0.8064831487288726,8.000000789940563
PREISSMANN,690.0,0.8064831491163957,8.000000797920084
PREISSMANN,695.0,0.8064831495024807,8.000000805912897
PREISSMANN,700.0,0.8064831498870618,8.000000813918675
PREISSMANN,705.0,0.8064831502700739,8.00000082193703
PREISSMANN,710.0,0.806483150651455,8.000000829967497
PREISSMANN,715.0,0.8064831510311458,8.000000838009498
PREISSMANN,720.0,0.8064831514090924,8.00000084606233
PREISSMANN,725.0,0.8064831517852461,8.000000854125117
PREISSMANN,730.0,0.8064831521595668,8.000000862196808
PREISSMANN,735.0,0.8064831525320231,8.000000870276109
PREISSMANN,740.0,0.8064831529025941,8.000000878361474
PREISSMANN,745.0,0.8064831532712718,8.00000088645106
PREISSMANN,750.0,0.8064831536380627,8.000000894542692
PREISSMANN,755.0,0.8064831540029888,8.000000902633833
PREISSMANN,760.0,0.8064831543660902,8.000000910721543
PREISSMANN,765.0,0.806483154727427,8.000000918802453
PREISSMANN,770.0,0.8064831550870807,8.000000926872747
PREISSMANN,775.0,0.8064831554451564,8.000000934928137
PREISSMANN,780.0,0.806483155801784,8.000000942963846
PREISSMANN,785.0,0.8064831561571215,8.000000950974627
PREISSMANN,790.0,0.8064831565113555,8.000000958954752
PREISSMANN,795.0,0.8064831568647034,8.000000966898048
PREISSMANN,800.0,0.806483157217416,8.000000974797919
PREISSMANN,805.0,0.8064831575697775,8.000000982647391
PREISSMANN,810.0,0.8064831579221076,8.000000990439155
PREISSMANN,815.0,0.8064831582747617,8.000000998165614
PREISSMANN,820.0,0.8064831586281312,8.000001005818925
PREISSMANN,825.0,0.806483158982642,8.000001013391017
PREISSMANN,830.0,0.8064831593387521,8.0000010208736
PREISSMANN,835.0,0.8064831596969477,8.000001028258144
PREISSMANN,840.0,0.806483160057738,8.00000103553579
PREISSMANN,845.0,0.8064831604216487,8.000001042697285
PREISSMANN,850.0,0.8064831607892116,8.000001049732806
PREISSMANN,855.0,0.8064831611609565,8.000001056631811
PREISSMANN,860.0,0.8064831615374002,8.000001063382866
PREISSMANN,865.0,0.8064831619190372,8.000001069973493
PREISSMANN,870.0,0.8064831623063312,8.000001076390124
PREISSMANN,875.0,0.8064831626997104,8.000001082618134
PREISSMANN,880.0,0.8064831630995726,8.000001088642101
PREISSMANN,885.0,0.8064831635062898,8.000001094446375
PREISSMANN,890.0,0.806483163920223,8.000001100015883
PREISSMANN,895.0,0.8064831643417578,8.00000110533725
PREISSMANN,900.0,0.8064831647713568,8.000001110400552
PREISSMANN,905.0,0.8064831652095377,8.0000011152013
PREISSMANN,910.0,0.8064831656570065,8.000001119742123
PREISSMANN,915.0,0.8064831661147007,8.000001124035242
PREISSMANN,920.0,0.8064831665837571,8.000001128104786
PREISSMANN,925.0,0.8064831670653547,8.000001131986881
PREISSMANN,930.0,0.806483167561417,8.000001135730056
PREISSMANN,935.0,0.8064831680735091,8.000001139396307
PREISSMANN,940.0,0.8064831686029498,8.000001143054375
PREISSMANN,945.0,0.8064831691510923,8.000001146771027
PREISSMANN,950.0,0.8064831697206812,8.000001150604252
PREISSMANN,955.0,0.8064831703071834,8.0000011546072
PREISSMANN,960.0,0.806483170910972,8.000001158801084
PREISSMANN,965.0,0.806483171530523,8.000001163146587
PREISSMANN,970.0,0.8064831721585485,8.000001167535984
PREISSMANN,975.0,0.8064831727637478,8.000001171784591
PREISSMANN,980.0,0.8064831733794732,8.000001175777948
PREISSMANN,985.0,0.8064831739517806,8.00000117922396
PREISSMANN,990.0,0.8064831744426206,8.000001181946137
PREISSMANN,995.0,0.8064831748299176,8.000001183881963
PREISSMANN,1000.0,0.8064831753075122,8.000001185557545
HLL,0.0,0.8064831014259745,8.0
HLL,5.0,0.8064831014792416,8.000000006175176
HLL,10.0,0.8064831015787612,8.000000009494782
HLL,15.0,0.8064831017274348,8.000000013009561
HLL,20.0,0.8064831019244179,8.000000016404096
HLL,25.0,0.8064831021621125,8.000000019326249
HLL,30.0,0.8064831024256839,8.000000021384599
HLL,35.0,0.806483102693468,8.000000023710813
HLL,40.0,0.8064831029660726,8.000000026091898
HLL,45.0,0.8064831032339417,8.00000002857457
HLL,50.0,0.8064831034946012,8.000000031234318
HLL,55.0,0.8064831037496294,8.00000003407992
HLL,60.0,0.8064831040020612,8.00000003702118
HLL,65.0,0.8064831042522465,8.000000040031694
HLL,70.0,0.8064831045027125,8.000000043073886
HLL,75.0,0.8064831047547752,8.000000046122643
HLL,80.0,0.8064831050088521,8.000000049164871
HLL,85.0,0.8064831052649759,8.000000052199887
HLL,90.0,0.8064831055231453,8.000000055229693
HLL,95.0,0.8064831057829651,8.000000058261861
HLL,100.0,0.8064831060441113,8.0000000613022
HLL,105.0,0.806483106306351,8.000000064355543
HLL,110.0,0.8064831065695284,8.000000067425054
HLL,115.0,0.8064831068335602,8.000000070512197
HLL,120.0,0.8064831070984527,8.000000073616741
HLL,125.0,0.806483107364241,8.000000076738006
HLL,130.0,0.8064831076309753,8.000000079874983
HLL,135.0,0.8064831078987056,8.000000083026675
HLL,140.0,0.8064831081674706,8.000000086192333
HLL,145.0,0.8064831084372936,8.000000089371548
